id,Algorithm,Environment,Total reward
1,UMDAc,LunarLanderContinuous-v2,307.32841248639454
1,UMDAc,LunarLanderContinuous-v2,267.1598496502486
1,UMDAc,LunarLanderContinuous-v2,278.9342522980727
1,UMDAc,LunarLanderContinuous-v2,273.5794646867478
1,UMDAc,LunarLanderContinuous-v2,313.3981412158897
1,UMDAc,LunarLanderContinuous-v2,264.94070545256204
1,UMDAc,LunarLanderContinuous-v2,282.1253112709262
1,UMDAc,LunarLanderContinuous-v2,233.81452275615553
1,UMDAc,LunarLanderContinuous-v2,250.68620280212045
1,UMDAc,LunarLanderContinuous-v2,303.03438220808175
1,UMDAc,LunarLanderContinuous-v2,215.02489463375355
1,UMDAc,LunarLanderContinuous-v2,304.61274594608494
1,UMDAc,LunarLanderContinuous-v2,275.64372347656433
1,UMDAc,LunarLanderContinuous-v2,49.70489216624455
1,UMDAc,LunarLanderContinuous-v2,256.2850002772103
1,UMDAc,LunarLanderContinuous-v2,266.2358422296119
1,UMDAc,LunarLanderContinuous-v2,307.8921734954386
1,UMDAc,LunarLanderContinuous-v2,283.80585817939055
1,UMDAc,LunarLanderContinuous-v2,270.41273243032776
1,UMDAc,LunarLanderContinuous-v2,57.66660057516225
1,UMDAc,LunarLanderContinuous-v2,266.35373113702315
1,UMDAc,LunarLanderContinuous-v2,271.68727357073305
1,UMDAc,LunarLanderContinuous-v2,288.03392930904914
1,UMDAc,LunarLanderContinuous-v2,273.0958126920781
1,UMDAc,LunarLanderContinuous-v2,225.68547140451653
1,UMDAc,LunarLanderContinuous-v2,233.12418630451944
1,UMDAc,LunarLanderContinuous-v2,294.8799007042685
1,UMDAc,LunarLanderContinuous-v2,292.59137544581256
1,UMDAc,LunarLanderContinuous-v2,253.12481203498697
1,UMDAc,LunarLanderContinuous-v2,238.2856943308054
1,UMDAc,LunarLanderContinuous-v2,264.08839805687074
1,UMDAc,LunarLanderContinuous-v2,300.87083684619466
1,UMDAc,LunarLanderContinuous-v2,286.13225650810466
1,UMDAc,LunarLanderContinuous-v2,295.0751889141943
1,UMDAc,LunarLanderContinuous-v2,301.35279479566077
1,UMDAc,LunarLanderContinuous-v2,305.4722642053799
1,UMDAc,LunarLanderContinuous-v2,263.18792725007427
1,UMDAc,LunarLanderContinuous-v2,75.76806602137503
1,UMDAc,LunarLanderContinuous-v2,313.78631724112734
1,UMDAc,LunarLanderContinuous-v2,203.81443484662782
1,UMDAc,LunarLanderContinuous-v2,257.76028911711126
1,UMDAc,LunarLanderContinuous-v2,291.5478897006212
1,UMDAc,LunarLanderContinuous-v2,245.8889466643566
1,UMDAc,LunarLanderContinuous-v2,294.4157410304439
1,UMDAc,LunarLanderContinuous-v2,289.3229896724851
