Generation,Average,Median,Maximum,Minimum
0,-599.1296902587161,-567.1491574553884,-47.56670858044546,-2548.793047976649
1,-427.69747380349577,-397.9590664676406,-74.32833583830897,-1397.847835217355
2,-340.86413477952846,-290.827405627526,-78.4605354938143,-1616.200050796854
3,-280.6033915531914,-238.6478140839178,-37.16047342686317,-946.4190638553351
4,-223.07702121855695,-185.3004619042633,-41.60696744434299,-612.8835948569939
5,-191.94032056311354,-153.26087977215087,-18.66408884151689,-679.4593019582823
6,-191.09078335646336,-142.2605611693048,-33.027547700971034,-616.9932318628196
7,-167.9017417008088,-138.20829898460397,-38.73993402523844,-943.1125593620362
8,-149.17213391239162,-131.65329048809366,-37.57647313445124,-546.1639211800805
9,-134.21817258890405,-126.71373177098957,-46.00476628706938,-537.0828533211401
10,-139.0014110717935,-125.98602108088276,28.395607051060974,-511.9736581800768
11,-123.69072740410317,-121.18194872809333,24.352133937429603,-407.07885344804566
12,-114.44957907789836,-111.30099717989219,8.405185977011408,-502.70916125401163
13,-108.44395394111527,-105.84534350644037,59.79473801340213,-336.3753320364544
14,-100.66233927696474,-92.06011413386852,3.3364717998506737,-303.76478833519764
15,-94.76263396397606,-87.98191405329678,23.5755017157951,-498.0885016621287
16,-90.08912431755891,-81.79040902893827,29.148442458009526,-293.3381456504462
17,-84.09680958649352,-75.75939675072274,89.41967569547069,-731.2801040630133
18,-73.38457039417408,-71.38213688644738,63.58294771290019,-278.7095092851843
19,-63.83543771618743,-61.28224730799606,147.70233676342147,-257.1603061442454
20,-61.35296727390118,-58.095804383320285,100.76211104726154,-213.3824544020067
21,-51.2093070328642,-50.643826673847784,94.1719414978536,-307.4276669698261
22,-46.834166048549406,-47.41956986337806,200.35988514258304,-265.87916434354383
23,-34.11613760067781,-37.88050642928708,173.56164816503323,-227.10397774454984
24,-17.82236221428844,-28.152724169556826,195.51274209560142,-155.28082852704827
25,-11.074575498639872,-18.17758553002473,230.68033138558314,-943.503073883221
26,2.6301376523771904,-8.622499100805555,197.54026180546427,-168.86027762604797
27,17.68576288219545,6.089311706142412,244.76709295665037,-299.7167828902018
28,37.46093465848756,35.52363146459777,277.34102879697815,-135.29863850885798
29,37.30949599927833,32.64305130058636,247.68605164644146,-171.11248324713836
30,62.195459279703876,62.33229806917599,255.16965483799376,-109.70937808639064
31,78.30487647624668,80.81619051606741,258.26283314521777,-147.34788177485444
32,81.77778213963039,80.65486440088841,279.5278434921626,-244.96033374606577
33,92.96112859297942,86.82584530842072,290.00611689642653,-66.75811290628434
34,103.0352555102043,95.83762496869886,273.0231427232144,-95.13133757060116
