Generation,Average,Median,Maximum,Minimum
0,-84.5685634800941,-103.21285537580516,-9.019841592463186,-139.59429206278745
1,-77.68543170004185,-99.89148948264142,-7.623731802855507,-136.28937021992405
2,-68.22757023351856,-49.89421562170749,-8.970043180375944,-140.2961200708103
3,-62.91035589885614,-42.468636397418535,-5.729096202741398,-130.48788646155307
4,-61.825095430336205,-40.214111167679675,-10.889578074601017,-130.18773741369122
5,-61.4501443532761,-37.81595165047271,-8.355764117879382,-136.41809512965787
6,-63.587415754960105,-37.35435379313881,-8.639921089525947,-137.07977980554674
7,-58.58855990649403,-35.82059623418949,-4.685584551398327,-135.8198848277233
8,-58.87499288711189,-35.13860227071433,-10.472273192601639,-136.74250862386808
9,-57.097964818235745,-33.83079214149585,-9.702397623505524,-136.31765268251692
10,-55.79478030437151,-33.307952714219425,-9.838878632973804,-128.9772652055718
11,-54.978414814908774,-32.20214382929258,-10.367882073021038,-139.7091914274198
12,-58.281617913875714,-32.64766235893411,-8.69576705689971,-140.91323174828156
13,-55.73386023767321,-31.548357802154058,-6.461529476745919,-140.50811969111302
14,-57.959830269850976,-31.52839176409168,-6.814092929500826,-132.16232512782287
15,-55.067443847544055,-30.654228487415985,3.956600943618619,-143.3192037162121
16,-54.592250500470925,-29.968151254694487,-2.7549495703441695,-136.29705013837273
17,-58.27822992971878,-31.421295599901235,0.1737012078524689,-130.3582819271875
18,-55.96662806328636,-29.616041208402358,11.9859690325355,-132.78221618959824
19,-56.47740305730143,-29.31319154127696,-9.324115546896401,-133.5184903582132
20,-52.35067263109604,-28.562657102924433,-8.929330288949323,-135.912054569851
21,-53.40469745348956,-28.015013853351004,-7.543030437460921,-132.01602779381156
22,-55.00732472836853,-28.135483571513422,-9.082743359562118,-139.66850968205603
23,-52.65144621323106,-27.524061755006542,-8.695784713554676,-139.46407011751987
24,-57.26356322163435,-28.225500745626572,-8.542516820246687,-142.12663797924571
25,-58.06151658041898,-28.387554949644674,-6.3399986517429845,-133.88595500062561
26,-56.21197958374733,-27.779711250085693,-5.018269534253892,-134.0576862349777
27,-55.34091042370138,-27.21015086915364,-7.414920897312972,-135.28368107263228
28,-55.34349886313451,-27.053893432013503,-5.656040950621918,-138.67460559100164
29,-54.81962310672023,-26.908064758594797,-5.811655983998449,-132.7401845068727
30,-53.333765058007714,-26.517671747880275,-8.777639349531869,-127.96262714561557
31,-51.58489910411859,-25.925213214049638,-9.246390528368725,-132.55993054994153
32,-51.286994318325796,-25.634033605227906,-5.873132633238678,-133.28965417263834
