Generation,Average,Median,Maximum,Minimum
0,-91.97467081326991,-105.05498935492216,-15.657893762769085,-141.27309519821873
1,-78.99626216345953,-100.1494544728854,-13.63060808944139,-130.4181252482213
2,-66.33411400615374,-45.80556167165871,-12.825177582222304,-141.87761777743944
3,-59.64117635027665,-39.23145252942828,-12.487876418534286,-129.9416704599486
4,-56.407961011904575,-36.664667708712706,-14.429412704154126,-139.15263165135923
5,-55.286891928753015,-34.6804623739997,-15.084200170474402,-139.08250362850507
6,-51.905549416737294,-33.5404917721021,-11.617412259357783,-136.10829690627358
7,-51.6977661505517,-31.4708850984345,-9.399080894582221,-137.42610450802357
8,-50.60329419301241,-30.59876559606305,-6.817570608915381,-133.18037184808176
9,-48.7121718159532,-29.673550696192095,0.9784302269063568,-134.05454420018904
10,-49.15089097594203,-28.73780510963479,2.4267525573960573,-132.33633837288505
11,-46.402675267613525,-27.366154127662952,-4.077372674599931,-134.1272398792586
12,-43.523146664394446,-26.555077149012256,-9.098739765728682,-140.30052707479362
13,-44.08694247617186,-26.1115454612311,-6.511358233797902,-131.67956046207863
14,-41.675194884547835,-25.07925209999793,-10.621165704079763,-133.97122061608658
15,-44.09141797866522,-24.554441141673415,-9.344957811852803,-138.86472559377123
16,-42.04161342933989,-23.740736580078625,-8.482383390736873,-140.14498502366993
17,-42.74859123182425,-23.334135314450762,-8.134271120982566,-135.87295931531872
18,-42.47778400833928,-23.198806282897223,-4.837367068665228,-138.58280851761597
19,-40.78231268981901,-22.768440168660064,0.653152820390722,-132.8869333556247
20,-38.33141831258318,-22.102341458641575,2.5321221148337187,-128.60667073820127
21,-37.26490235065707,-21.494591950444487,0.25325264665591946,-132.60591611431894
22,-37.05858629080733,-20.348765579776078,-1.6041924198253685,-134.95013442454527
23,-36.71291082360603,-20.33558635178545,3.0794003812775137,-132.69207477507703
24,-34.37468389099287,-19.111680435864027,-1.1461242616342489,-127.81677029831694
25,-38.378982350059175,-19.64033238398945,1.3706690401490682,-127.63683409756152
26,-37.28125582971193,-18.746294636150818,2.299515402024199,-132.97856990196706
27,-35.07075730834451,-18.875593276047148,7.893196474603911,-138.62338113647482
28,-32.70030553131478,-18.4602531289416,23.068432398899137,-131.05666419932743
29,-33.214362627355406,-17.90438679119056,5.79652581966603,-129.22929756403087
30,-33.3776169811546,-17.43392902310236,5.806975178547858,-131.93109403631408
31,-33.80575894751609,-17.16062388518126,6.031591600963854,-138.82820021688318
32,-34.08978451378009,-16.795167503571417,5.544756518774297,-132.54153782949513
33,-31.77050410273609,-16.362273841285926,14.416876631100024,-133.78214093993293
34,-30.523534047675785,-16.194315884972347,8.512513777439038,-134.5403316517969
35,-33.3585471211346,-16.295004447586503,10.592501075934742,-127.91929272367967
36,-34.56427026768415,-16.16815613740291,6.2989126796976445,-139.32540668934234
37,-32.613481881110445,-15.929382526982113,12.632838505591707,-141.14078125758405
38,-30.48098818547108,-15.29071919640132,12.542903612751012,-131.5212401795976
39,-31.7753564297927,-15.2064553207681,10.087758825553804,-134.22337300215358
40,-33.43220586474447,-14.824928622815964,6.658284150388323,-127.68081554780123
41,-29.08795828289758,-14.35754790218446,14.550134801442539,-128.87352334512738
42,-27.9860697077412,-14.319733787051542,17.57212108482392,-126.98037288234383
43,-28.64595666508613,-13.531368024328415,10.634878544193711,-134.34118410988575
44,-27.779112711751367,-13.447197616480992,31.586490559571477,-133.61323129762454
45,-29.496529187389296,-13.216815465316083,15.816446891628848,-126.97105948826498
46,-32.60931652061681,-13.473744761733698,20.97111762951903,-136.70873868667638
47,-25.10726266410631,-12.582963700279407,28.12958709929119,-134.04640732084277
48,-27.982475953071493,-12.349480355908632,28.76182881479129,-148.4874040880294
49,-28.893528055097875,-12.49410173395108,25.35200026037512,-140.3431026808953
50,-28.267036557423854,-11.672471226108929,18.985685184248137,-138.00660161726475
51,-27.899766887995714,-11.742413957181096,22.712010072048432,-127.99974758309763
52,-26.5009555449955,-11.037274396938436,26.506140324819583,-132.2215989856904
53,-25.036590776886932,-10.960238956923455,19.60769892936681,-135.23611049292882
54,-25.36846212567799,-10.89619035580283,23.119488855355666,-132.83054733779912
55,-23.806987784440516,-9.971139516241916,25.004434193616103,-135.78164751254928
56,-24.301068946396093,-9.583304499788177,21.81275128738757,-135.26158019719975
57,-22.437830935866476,-9.418248785444225,25.625081596929316,-130.71096693818313
58,-26.970722226445016,-9.097131536552327,30.858807106428106,-136.96490815059468
59,-21.054113669547924,-8.89710631126528,23.672725161313448,-126.73800849076629
60,-25.590138397872998,-8.243873782866789,24.892461339334556,-135.78075743512716
61,-22.650804105877388,-8.171024332048374,27.067489088317615,-126.81152873804325
62,-19.98410710360221,-7.731551217835346,24.862932616111053,-130.2876471993283
63,-22.392583008713952,-7.948195405366658,22.612729136419663,-139.14488365458132
64,-20.97244192535485,-7.752749803096023,23.027798839257375,-130.06053383565867
65,-19.483866130949608,-7.156323949766355,22.01892105284719,-129.67804272877981
