Generation,Average,Median,Maximum,Minimum
0,18.12777777777778,9.666666666666666,130.66666666666666,8.333333333333334
1,22.316666666666666,13.666666666666668,122.66666666666667,8.333333333333334
2,35.044444444444444,24.5,200.0,8.666666666666666
3,46.49444444444445,35.5,200.0,9.0
4,56.02222222222222,43.66666666666667,200.0,9.666666666666666
5,72.81666666666666,60.5,200.0,9.666666666666666
6,96.50555555555555,88.0,200.0,9.0
7,110.2,106.5,200.0,9.0
8,118.7,120.66666666666666,200.0,8.333333333333334
9,133.65,160.5,200.0,8.666666666666666
10,150.49444444444447,191.33333333333331,200.0,9.0
11,161.89444444444447,200.0,200.0,8.666666666666666
12,157.3277777777778,200.0,200.0,9.0
13,167.61666666666667,200.0,200.0,8.666666666666666
14,166.2777777777778,200.0,200.0,9.0
15,163.94999999999996,200.0,200.0,9.333333333333334
16,167.2833333333333,200.0,200.0,9.0
17,166.1722222222222,200.0,200.0,8.666666666666666
18,168.71666666666667,200.0,200.0,9.0
19,167.79444444444445,200.0,200.0,9.333333333333334
20,167.45,200.0,200.0,9.666666666666666
21,164.25,200.0,200.0,9.0
22,177.9,200.0,200.0,9.0
23,170.6888888888889,200.0,200.0,9.333333333333334
24,167.39444444444445,200.0,200.0,8.666666666666666
25,177.1222222222222,200.0,200.0,8.666666666666666
26,168.10555555555555,200.0,200.0,8.666666666666666
27,164.2,200.0,200.0,8.666666666666666
28,173.32222222222222,200.0,200.0,9.333333333333334
29,170.03333333333333,200.0,200.0,9.333333333333334
