Generation,Average,Median,Maximum,Minimum
0,18.755555555555553,9.666666666666666,200.0,8.333333333333334
1,19.922222222222224,9.833333333333332,200.0,8.0
2,29.52777777777778,15.666666666666666,200.0,8.333333333333334
3,37.977777777777774,23.0,200.0,8.666666666666666
4,49.127777777777766,42.166666666666664,200.0,9.0
5,63.05,50.0,200.0,8.333333333333334
6,89.18888888888888,73.0,200.0,9.333333333333334
7,116.11666666666666,107.5,200.0,19.333333333333332
8,135.16666666666669,153.5,200.0,9.666666666666666
9,143.2111111111111,170.83333333333331,200.0,9.0
10,143.73888888888888,189.83333333333334,200.0,9.666666666666666
11,160.92777777777778,200.0,200.0,9.0
12,162.3111111111111,200.0,200.0,9.0
13,171.3277777777778,200.0,200.0,9.333333333333334
14,175.71666666666667,200.0,200.0,10.0
15,175.26111111111112,200.0,200.0,9.333333333333334
16,179.63333333333333,200.0,200.0,9.0
17,177.52777777777777,200.0,200.0,9.0
18,176.98333333333332,200.0,200.0,9.0
19,169.28333333333333,200.0,200.0,9.0
20,159.50555555555553,200.0,200.0,9.0
21,170.30555555555554,200.0,200.0,8.666666666666666
22,182.78333333333333,200.0,200.0,8.666666666666666
23,167.25,200.0,200.0,9.0
24,176.19444444444446,200.0,200.0,9.0
25,165.40555555555557,200.0,200.0,8.666666666666666
26,169.88333333333333,200.0,200.0,8.666666666666666
27,178.08333333333334,200.0,200.0,8.0
28,157.8111111111111,200.0,200.0,8.666666666666666
29,180.73888888888888,200.0,200.0,9.0
