Generation,Average,Median,Maximum,Minimum
0,-485.26010604531837,-494.9057810888139,-69.37311628209547,-1469.2250555628927
1,-392.336687494229,-377.22982073519506,-14.958214799622638,-2047.9783813276952
2,-317.45518205248993,-264.5588468658941,-31.714741548193718,-1758.8901114833054
3,-230.8856151210988,-159.12131289351626,54.31516987206883,-1899.9740467541972
4,-203.3480595583175,-143.71048651672726,-31.079221798004838,-1613.0901870586385
5,-189.3515746392952,-137.65246927918193,-67.39975923669033,-1357.0086564300002
6,-180.0607540399385,-137.11856227059337,6.438862401836947,-1163.2064710902268
7,-173.9771983323682,-139.55609668714334,53.98191610633243,-655.2121008075637
8,-176.0060855617959,-137.01292203014054,43.522063702043084,-1305.215422668892
9,-159.3543750108091,-138.77911693372425,-31.13159242965069,-552.257983138142
10,-183.22180483133235,-137.65316970926503,-34.55900268015095,-1616.296642347613
11,-172.7014082740189,-137.55207133156188,-38.58041723055427,-1250.0908703052785
12,-160.8082546734371,-131.9731065459082,-41.179256035612354,-587.4471700083818
13,-154.61569328950125,-133.75510299846357,-26.782316221525548,-762.506299702678
14,-156.10266591457705,-133.07827357778046,-50.9831226646804,-668.618427124759
15,-148.08326023825336,-131.3796484010728,-25.675520309616946,-589.5866617777323
16,-152.754964882664,-132.45442923290182,-2.9082526483966404,-628.6967744372528
17,-148.71455681621845,-128.06352465754114,-41.935756813660895,-639.2287078825008
18,-155.66756727878158,-133.80481115666657,-37.905780249367474,-1005.2472448406724
19,-149.32560039574562,-130.14906318133117,47.08340318869795,-678.905513745492
20,-150.84428304899464,-128.95283483051588,3.4617123448575504,-730.7359484443924
21,-145.93051621843165,-129.86590851475358,91.38699743666784,-522.3461238163218
22,-143.63225649514752,-123.1976650247729,176.05713114409,-1725.4214694911707
23,-154.13386744756008,-123.80513301537596,72.10257217020767,-622.7314400050169
24,-141.79542404197338,-123.74856888884253,84.07381551191996,-739.2677324620549
25,-138.28287598039017,-119.8642643632345,51.22830575612546,-1196.5043601596683
26,-127.29630422793902,-116.06776758653649,31.941372048463077,-529.221492491642
27,-135.6627737582557,-114.90666721705048,61.80093732046803,-538.8654649345364
28,-133.5135143613837,-113.06789094995138,68.99597451506413,-420.2273220862224
29,-122.42898270195073,-109.1937338222143,147.88316880009526,-571.1920076842039
30,-118.52594686877829,-101.80297848483464,46.017507160663264,-618.5665524943389
31,-111.57550630149464,-98.00429642973506,92.99575518548892,-500.7010820600004
32,-132.8087401828096,-97.67871055901634,139.10187654873096,-953.7050182421077
33,-112.48804637053166,-96.17442933021451,42.26765340226196,-494.3151882502241
34,-111.39158985042428,-85.56142122879984,167.73633539085904,-668.3389834112791
35,-101.69080203907173,-85.3454570554781,102.10514708772013,-672.235694558579
36,-93.92093747718657,-79.81256643690345,73.58462160568958,-523.2889674495558
37,-94.81972501970678,-81.14764542735668,227.57743922477093,-402.8509537822652
38,-95.70301787891611,-79.66064679366112,55.4107391583919,-547.3296405305368
39,-96.22604246357358,-73.78302543943724,90.24496429650928,-790.3223615272483
40,-82.99967011629315,-72.65695089904682,95.92104457448198,-348.7092186287203
41,-86.03952981744435,-70.6606717928132,122.04703381674153,-598.4043743086773
42,-77.09128238354107,-59.62209578303013,153.28600168173008,-589.9673935505838
43,-67.14268573547952,-57.66062168723977,161.27516228664265,-457.84403750693406
44,-70.51278342230837,-49.51258256501171,172.8640424458499,-543.1497928477232
45,-74.9958200435241,-56.656896326547894,175.96345818314617,-694.981896571209
46,-78.22753269717111,-53.059139652187824,105.22962563552683,-594.1354582495322
47,-68.7241072577945,-44.851733723896736,158.42206283644802,-884.8681710642985
48,-57.5243140993598,-35.63774620915723,233.80888666046621,-901.1197294275698
49,-60.31944200927629,-29.743246663138272,187.56288063253706,-1616.598031959169
50,-55.12209561908249,-33.85829221408809,241.97127209912335,-538.3457643301766
51,-37.9968225094912,-18.578584110127466,240.18087289821082,-592.6201539354626
52,-37.255376370543836,-12.666532146566563,265.47877069250563,-556.8041434373655
53,-39.03318592028463,-6.663658567742258,179.61584654475328,-1004.2253364212553
54,-17.60793141191821,0.001981581822829998,266.98968970005086,-612.4714640141361
55,-22.010545900407138,-2.6847409713999135,174.65987187578716,-749.0243230394659
56,-4.34903855931591,12.884411041850688,212.87526616002216,-491.0371777224121
57,-11.599314054968549,10.280489904163883,223.27982467753768,-598.7727860340678
58,0.6259403106024009,25.48444033934931,280.3999134299661,-846.3413153141042
59,-2.085801889767804,30.001365343451916,250.26195200439554,-620.0022841232056
60,-0.90647100660708,37.72782443775701,257.5957980471996,-541.0406751686406
61,15.051975893058414,46.21654055070499,269.5164776972592,-423.9918716473383
62,0.5083093918243092,48.2286058246257,284.0251291444878,-681.246035109677
63,21.351127444011333,56.21061437155889,243.65488600531535,-677.4287940255326
64,12.48059646303707,63.01230789834049,289.4684283143817,-768.889556067766
65,21.692938646020135,56.28762835769699,265.47702139377066,-668.7984539841511
