Generation,Average,Median,Maximum,Minimum
0,14.016666666666664,9.666666666666666,66.33333333333333,8.666666666666666
1,22.022222222222222,11.333333333333332,200.0,9.0
2,29.677777777777774,16.5,200.0,8.666666666666666
3,51.133333333333326,30.333333333333336,200.0,8.0
4,68.2388888888889,53.33333333333333,200.0,9.0
5,81.42777777777776,65.5,200.0,10.0
6,109.04999999999998,93.33333333333334,200.0,9.0
7,127.52222222222223,137.5,200.0,11.0
8,156.99444444444444,171.33333333333331,200.0,26.666666666666668
9,162.76111111111112,200.0,200.0,9.0
10,194.6277777777778,200.0,200.0,121.33333333333333
11,193.6222222222222,200.0,200.0,96.66666666666667
12,187.25555555555556,200.0,200.0,9.666666666666666
13,193.15555555555557,200.0,200.0,48.666666666666664
14,191.58333333333334,200.0,200.0,9.666666666666666
15,196.84444444444443,200.0,200.0,137.66666666666666
16,192.48333333333332,200.0,200.0,80.0
17,191.36666666666667,200.0,200.0,9.333333333333334
18,195.00555555555556,200.0,200.0,121.66666666666667
19,194.36111111111111,200.0,200.0,9.0
20,196.56666666666666,200.0,200.0,119.66666666666667
21,189.95555555555555,200.0,200.0,9.666666666666666
22,195.10555555555555,200.0,200.0,10.0
23,184.0611111111111,200.0,200.0,8.666666666666666
24,187.51666666666668,200.0,200.0,9.333333333333334
25,193.87777777777777,200.0,200.0,10.666666666666666
26,193.21666666666667,200.0,200.0,10.0
27,195.8222222222222,200.0,200.0,122.66666666666667
28,197.47777777777776,200.0,200.0,134.66666666666666
29,191.89444444444445,200.0,200.0,22.0
