Generation,Average,Median,Maximum,Minimum
0,16.555555555555554,9.666666666666666,200.0,8.333333333333334
1,26.255555555555556,9.833333333333332,200.0,8.333333333333334
2,33.85,17.333333333333332,200.0,9.0
3,37.64444444444445,22.5,200.0,9.0
4,48.79444444444445,35.83333333333333,200.0,8.333333333333334
5,69.95555555555555,51.83333333333333,200.0,9.0
6,84.09444444444445,72.33333333333334,200.0,9.0
7,92.94444444444447,90.83333333333333,200.0,9.0
8,96.05000000000001,99.16666666666667,200.0,9.333333333333334
9,110.01666666666668,117.83333333333334,200.0,8.666666666666666
10,122.11111111111113,143.16666666666669,200.0,9.0
11,147.95,193.33333333333331,200.0,8.666666666666666
12,152.1777777777778,200.0,200.0,8.666666666666666
13,164.93333333333334,200.0,200.0,9.333333333333334
14,174.21111111111114,200.0,200.0,10.666666666666666
15,173.2722222222222,200.0,200.0,10.0
16,169.99444444444444,200.0,200.0,9.333333333333334
17,176.55,200.0,200.0,9.333333333333334
18,181.03333333333333,200.0,200.0,9.333333333333334
19,176.61666666666667,200.0,200.0,8.666666666666666
20,182.1,200.0,200.0,9.333333333333334
21,172.02777777777777,200.0,200.0,9.333333333333334
22,177.13333333333333,200.0,200.0,25.666666666666668
23,180.85555555555555,200.0,200.0,9.666666666666666
24,185.32222222222222,200.0,200.0,10.0
25,176.36666666666667,200.0,200.0,9.666666666666666
26,177.7611111111111,200.0,200.0,9.333333333333334
27,181.81666666666666,200.0,200.0,9.333333333333334
28,174.17777777777778,200.0,200.0,8.333333333333334
29,178.3,200.0,200.0,10.0
