Generation,Average,Median,Maximum,Minimum
0,-575.2055853809345,-522.5620532265772,-87.12381218284827,-1555.6978108212818
1,-359.9236103269545,-362.2727727707867,-21.67168728826677,-976.9488042858762
2,-267.1367337172469,-217.300618359543,-47.246309116868616,-788.0869445237753
3,-218.09609272619022,-163.41076404206513,-1.4697344739671294,-890.2066289822418
4,-170.81538080900611,-137.79636162253388,-28.7221977017755,-803.8458709250972
5,-180.26027100966203,-135.87708215526285,-1.0321062303370663,-1135.928621559918
6,-153.00713626669028,-131.45716889923264,48.853420353590224,-478.1466839308012
7,-137.02214047617574,-122.85260193140249,29.52163925797909,-575.7718161465976
8,-126.90829307464308,-123.40722229503788,14.693710039446074,-375.69779444118666
9,-118.56429541336021,-115.91441222968456,24.23569963013109,-323.7547749763932
10,-111.16557532669843,-112.46531761175326,73.56981915532573,-649.5894629663771
11,-94.00689082240113,-93.46696905854665,61.61413703915414,-524.4321595527966
12,-89.78576748873859,-83.4871032649036,63.57706608926543,-300.8817131725664
13,-80.37135303215143,-75.05509950864982,41.00338079396969,-261.5919492674067
14,-71.07025542596527,-60.03522021289248,57.70967545374344,-527.5916239148263
15,-64.37887835216941,-56.61856825696028,73.38769632202194,-285.56881269667196
16,-54.72136622744229,-54.5977954290756,103.04844677091047,-249.3146884002339
17,-41.5117342775325,-33.87377729454705,106.62344868556158,-202.45805200270013
18,-35.27016419094151,-38.154144620010435,103.86888836534824,-151.65998663900822
19,-20.287546422155092,-21.977887899986733,113.09318556397324,-156.5576005812136
20,-12.708462399960286,-9.314820156209521,145.089797195829,-162.406670837642
21,-10.684977247729831,-4.155453239615979,108.96444189368914,-398.6192817029819
22,2.5072429092915773,1.1311138823246043,115.04428776392903,-238.17934048062284
23,9.212125959435323,16.71623530901341,126.42643839616964,-184.08581956273898
24,30.073612127756018,33.589107280751264,143.48319672832326,-142.29363277034165
25,37.959441307332035,42.27093388914121,160.70937744378168,-88.57377623401595
26,43.53646184501305,44.576929146492844,133.7154398977198,-123.67177522219181
27,57.88599304164471,62.84726293602387,124.05296556288987,-70.6316446538438
28,51.214405856976164,58.203881926656635,148.95227115539555,-90.23324090149782
29,61.57290890821244,62.87855415185684,140.0698318485285,-40.81019666499065
30,73.2550636242339,75.71638227303622,130.6102114340858,-31.568994988924132
31,69.12023438472087,72.9457659875043,138.01346432367725,-70.73139162526063
32,74.67943456601132,74.79470873699981,150.13351173574577,-73.29079707263564
33,82.32121944316233,90.4333861895195,147.1885813783914,-100.2035464156251
34,80.72193223884533,82.27581105813418,162.01442395095054,3.4977735202640687
35,88.41427249224728,87.17842705835209,158.56435042899815,13.135032175712178
36,92.3866102319391,96.59154094022111,157.63190437690415,2.3673389938299607
37,95.7095178971975,96.82337093045675,150.93939499577553,24.229286467644403
38,99.50614684305968,99.80784031325382,200.06582509734355,32.225921885735964
39,96.5477346305331,95.61855697585014,151.16601635671918,3.3533341198903415
40,105.09050738734861,106.4621848563983,162.3967883053496,44.561197604394785
41,103.0305530908534,109.52860559285331,156.2730814142084,13.168134766901735
42,111.39204895474934,112.84212085376123,193.94695625809314,23.98845381134399
43,105.34515578888929,104.55264115813281,206.67736907380905,33.24571433641199
44,111.83985555386336,112.7330487026428,172.44444144177814,19.41722461744705
45,112.42576227039125,111.92233566144006,200.99264358447132,7.463337908283307
46,113.74113396364375,118.10289672055612,174.44894653166975,-12.451370486434831
47,118.25929098439609,121.0220040303233,187.2872274426858,35.038198680022255
48,121.5602838514507,120.24902403915175,217.70089804505164,9.894427905965577
49,122.02782576259453,122.93699762849434,197.3184551674151,37.654021397574915
50,115.51043189243681,113.85229920408005,201.52422264698953,38.509213698116326
51,117.0477582718837,118.87448416564075,223.9184829773911,-20.269451004145562
52,120.03423656859037,125.9696626269156,196.038520373926,-27.749169970980024
53,125.39974540989432,127.90210221885836,209.5075573901228,28.532090420967346
