Generation,Average,Median,Maximum,Minimum
0,-458.1339942547357,-471.58685023658006,-66.67882227995595,-1291.3748484174812
1,-342.49294170962014,-304.4049635305172,-50.29821891980732,-904.0562465952935
2,-236.71679136341243,-182.73082702968932,36.08735874997662,-946.7311335191679
3,-184.0882613399103,-149.18669896527035,-33.76384086407477,-1317.1257719565938
4,-185.5476841406941,-138.44618468395225,-20.086662834008198,-1007.021298420264
5,-148.3190028965174,-131.06996901737048,-18.956252067249544,-722.3440610839692
6,-146.73715663477307,-134.05386152153028,31.167511083164197,-512.6945610514566
7,-143.6925355436458,-133.8563647679896,-10.03847918759802,-816.5605374303442
8,-147.43503235598698,-132.25173055914712,-8.59046324195449,-634.2410210430738
9,-136.07717993103228,-128.4074202384952,-28.57688341635735,-708.2737029003314
10,-134.2065351244069,-127.71051214287024,-7.913457874218182,-427.0376825731349
11,-128.30651086404418,-125.85067677277088,3.1837990865488357,-554.7474884659745
12,-133.58479488014962,-123.91444172713784,-20.88520857040824,-697.3166155052595
13,-120.34563625591815,-119.53445739031457,8.2010548363403,-306.23022596418815
14,-124.69496999811453,-120.87684161610761,11.85620836089977,-325.14167723581016
15,-120.32184366433958,-113.01677420644965,53.221237283729685,-434.7946312052674
16,-115.1491263033519,-110.5271474279331,77.9270078846071,-472.09749031419557
17,-111.53842331010107,-101.29345957327814,108.83019048510045,-636.6188143244891
18,-112.54620097694097,-101.98773365043506,103.04355195330915,-565.582283201849
19,-102.95645599359779,-96.12393358180137,84.92298321117681,-474.41205709341074
20,-104.85499016077884,-89.75222720792468,121.64857435204307,-561.2905362519006
21,-89.24232073180873,-85.02450037170927,114.03829971232783,-490.2461182947882
22,-101.56464820842018,-93.73795614042467,113.57674278950928,-432.5211797574819
23,-89.64508565637408,-82.61243410733141,106.18168442023102,-317.0447988378351
24,-91.53432557041454,-80.08520430398117,88.6555880992438,-625.8966614722332
25,-92.23142418550187,-80.24997237245832,85.31919764882504,-396.1106643719102
26,-81.43460086642271,-70.63355498733911,134.18191808822846,-419.92672131876594
27,-65.06311734330428,-63.38526898019025,127.55948715364148,-382.30028845746284
28,-54.10507269052233,-52.04095435825663,114.40027850630112,-304.0182132074758
29,-53.06218185400537,-51.894311836683634,114.20431751310223,-300.2161975122656
30,-35.856471992195935,-37.648926014198196,193.28996009730272,-336.6491558631576
31,-12.343875634878948,-11.164146772599569,174.57913026864424,-401.33723279545137
32,9.384987594147638,10.67358207028396,192.19983945196182,-228.6400811296919
33,17.053058082284245,24.377641051706867,196.2760852420017,-321.6000846553965
34,27.84409732319421,40.48471205950035,208.40590333810508,-266.1867298621521
35,46.44701124090488,61.914649979736254,159.83519291075598,-208.23752899397337
36,57.158976669267936,68.03595830658314,179.3136405118631,-165.67613250077213
37,66.69288837115762,84.61292863331096,172.76517490011375,-252.42843485947208
38,75.5130456755982,88.8984109123775,201.85961881228982,-190.14633256754257
39,86.1878561076095,94.96513305522117,226.40210492496965,-150.763549707569
40,91.54103731090085,100.86987863180826,195.51096539499576,-190.00130332442362
41,91.11933296597026,103.00466634021555,177.55286334125455,-225.63438020271914
42,98.17094999004655,106.2820801495119,207.50444204095447,-87.55235870583066
43,106.9002120666921,112.58143109330226,184.58440410064497,-97.79786146429377
44,107.55045654996573,113.90874457166703,199.43665442456208,-67.82732522405173
45,108.79533675621025,115.63390258010122,227.5215451632529,-166.71669613608387
46,111.55109897732828,117.48506466790856,198.99890408514474,-111.11744528542619
47,115.04009777130521,120.1099293634451,183.03558751475552,-45.489499687980675
48,119.04696832278862,124.25583137593173,223.4802862176895,-14.586572737574613
49,121.0168346801391,124.58549614280724,219.56231516063062,-78.42536803656624
50,118.97645326754952,126.31672627891348,231.76067798623862,-49.31917752807641
51,120.67088100437759,125.12869928858468,193.7520386822273,15.978195683327717
52,125.48940788128523,128.64154711990898,207.32942131589456,22.31630922170714
53,126.01317898565196,130.13995097236614,191.86909559035118,23.0892594207314
54,130.3571260886729,136.17976951419928,282.36684292481544,23.667095572350174
55,129.6241174093924,136.7292480980089,225.04033037842456,-31.09230962456587
56,135.26515994895712,141.4883873308832,237.90959210310356,-25.57795419314174
57,134.77184772622795,137.7509795884292,256.5742377615921,-88.09725706021352
58,136.69402888508444,140.23481958863496,267.23815284887155,40.32131284522899
59,138.79866841339395,142.62013132133308,256.08538455943267,27.30627749040011
60,135.41968885999958,142.82388965010807,245.08811182156697,7.271634296271884
61,139.1470957441998,144.46169074723537,249.08703487930543,24.95075855950239
62,139.74579524204836,143.3103247653568,250.615274445356,11.493197829607121
63,140.67232973634987,143.18671732354994,235.52150591180194,30.17634409820428
64,144.14999842864304,146.3412953063715,266.1318005533205,18.20736666048968
65,145.90351170383863,149.44370923849323,256.0405042422336,44.84155940877438
66,145.36401898914716,148.03963470567064,262.37792971918356,12.380662014215815
67,144.66681580823035,150.88259257229285,266.36716702214414,-40.37901036221579
68,149.79029701483802,151.6842278060904,266.2675262910657,0.07349734703128281
69,150.00466547031567,152.004115979814,251.14305655221668,24.212309447199747
70,152.9682389294701,154.161012898463,283.33864856353574,-0.3476558590568762
71,153.94758384508384,153.20126199657352,248.34380840684886,-27.015931337673024
72,157.26799014858244,158.49115935963653,280.21121872167095,13.805864237498781
73,154.66868112247906,159.93836192047604,281.7673609312852,17.357965377114315
74,161.05895073424523,158.63531947639677,272.1595093521809,4.895278839617437
75,164.96511223114302,164.20662223584526,281.1350453121463,18.5608382818903
76,161.8484403246982,160.49428668321474,271.30330251913233,27.319505944111096
77,164.5582595245889,165.99229079913698,288.2161787686434,32.96421930788254
78,174.25921783222225,169.3187299146352,289.2551526237828,-15.230927669446189
79,169.88504222435097,170.70569334453359,291.7122749303295,4.200577746159833
80,167.57197739050335,169.78155198753967,277.6961001143792,-2.590288439257781
81,172.88889449926216,171.7368347075871,281.3323048908865,33.4063831385756
82,176.7198860162541,174.22690651031843,292.2953734993079,35.216927854847235
83,175.09364722356855,171.61516648995462,287.7024389974402,54.544506321199755
84,177.88454580793828,175.96064570641227,301.76067778266366,25.420490771677375
85,178.81154068213885,178.77394504791522,299.9217195933845,4.650467005879757
86,180.59361007574665,177.6747532269864,293.98274101440035,58.68686033089264
87,175.82161303681238,176.91532002977442,284.09714731620755,38.88007601353281
88,185.87173707768764,194.41398339765226,289.53191597706297,14.192627852266261
89,185.78101329968888,183.48045109528474,283.6306412262764,14.740083413799738
90,186.23981514448786,190.8559991949765,289.6021717854605,44.340670367460746
91,192.6836508637091,198.92864078029072,301.4008026405672,33.256492321563755
92,180.68334304560787,188.21187909574977,287.7626096095666,-115.4368097011372
93,198.84942284066548,200.73246305302695,292.7493015046366,51.796070561254375
94,198.14156600364785,200.95269788200724,299.7636913489196,29.32648978120093
95,193.8308701994329,201.10141016794557,291.4610085089795,41.82168807507812
96,193.1316548110003,201.68451711831082,288.4027962258901,38.172541259183255
97,194.06810484583468,197.31574316133464,298.0428721668257,48.72137032362468
98,204.3158017201162,208.79204726833356,302.38989046747696,19.889363668723334
99,197.9033117249679,205.2578765697857,280.04009803007324,42.609452618295265
100,194.51345715216692,196.69802103468646,307.38883796130926,27.85649458437085
101,201.97386535467828,202.60061896409667,298.88653820475685,77.45372350509349
102,201.9254907447727,206.52815472807663,297.5972389764792,43.575899065486944
103,198.33270690124004,202.7084755731671,296.1675231845741,7.8571794617660045
104,200.10231557475768,204.52591860514633,293.79866176698073,57.37960266979161
105,204.54749572435642,210.41910896105452,285.97799590873393,78.834133529292
106,199.83061186301384,203.42406464522,291.612823192639,36.116828114252286
107,205.42425047896796,207.77190094992022,293.62072394916186,70.1811852966632
