Generation,Average,Median,Maximum,Minimum
0,13.15,9.333333333333334,61.0,8.333333333333334
1,20.1,11.833333333333332,200.0,8.666666666666666
2,29.694444444444443,21.5,200.0,9.333333333333334
3,39.85,37.0,200.0,9.333333333333334
4,47.15555555555555,37.33333333333333,200.0,9.666666666666666
5,54.28888888888889,45.666666666666664,200.0,9.0
6,63.32777777777778,54.66666666666667,200.0,9.333333333333334
7,75.05000000000001,63.833333333333336,200.0,9.0
8,93.96111111111112,86.0,200.0,9.0
9,109.93333333333334,113.66666666666667,200.0,9.333333333333334
10,127.17777777777778,124.33333333333334,200.0,8.666666666666666
11,143.91666666666666,160.33333333333334,200.0,10.0
12,151.78333333333333,176.83333333333331,200.0,9.0
13,166.15000000000003,200.0,200.0,9.0
14,184.4277777777778,200.0,200.0,64.66666666666667
15,179.65555555555554,200.0,200.0,9.333333333333334
16,178.95555555555555,200.0,200.0,10.0
17,178.05,200.0,200.0,9.333333333333334
18,169.22777777777776,200.0,200.0,9.333333333333334
19,178.95,200.0,200.0,8.666666666666666
20,169.3,200.0,200.0,9.333333333333334
21,172.35,200.0,200.0,9.666666666666666
22,180.86666666666667,200.0,200.0,9.333333333333334
23,173.27777777777777,200.0,200.0,9.0
24,182.6888888888889,200.0,200.0,9.0
25,180.2111111111111,200.0,200.0,9.0
26,167.44444444444443,200.0,200.0,10.0
27,169.39444444444445,200.0,200.0,9.333333333333334
28,181.1777777777778,200.0,200.0,9.333333333333334
29,180.38333333333333,200.0,200.0,9.0
