Generation,Average,Median,Maximum,Minimum
0,22.077777777777776,9.666666666666666,141.33333333333334,8.0
1,27.227777777777774,14.333333333333332,125.66666666666667,8.666666666666666
2,45.10555555555555,29.333333333333336,196.0,9.0
3,53.516666666666666,45.83333333333333,167.0,9.333333333333334
4,61.25555555555555,50.66666666666667,177.0,16.333333333333332
5,76.93888888888888,62.0,197.66666666666666,14.666666666666666
6,94.50555555555555,88.33333333333334,200.0,16.666666666666668
7,111.79444444444445,109.5,200.0,9.666666666666666
8,138.15000000000003,153.83333333333334,200.0,8.333333333333334
9,150.94444444444443,184.16666666666666,200.0,9.0
10,171.03333333333333,200.0,200.0,9.0
11,177.85,200.0,200.0,8.333333333333334
12,182.41666666666666,200.0,200.0,13.0
13,184.14444444444445,200.0,200.0,9.0
14,191.17222222222225,200.0,200.0,9.0
15,196.64444444444445,200.0,200.0,55.0
16,189.42222222222225,200.0,200.0,9.333333333333334
17,190.06666666666666,200.0,200.0,10.0
18,190.45555555555555,200.0,200.0,9.0
19,186.51111111111112,200.0,200.0,10.0
20,192.69444444444446,200.0,200.0,56.0
21,194.01666666666668,200.0,200.0,47.666666666666664
22,191.77777777777777,200.0,200.0,9.333333333333334
23,183.72222222222223,200.0,200.0,9.0
24,191.1611111111111,200.0,200.0,11.0
25,187.1277777777778,200.0,200.0,9.333333333333334
26,188.19444444444446,200.0,200.0,14.0
27,190.45555555555555,200.0,200.0,9.666666666666666
28,188.48333333333332,200.0,200.0,10.0
29,187.19444444444446,200.0,200.0,9.666666666666666
