Generation,Average,Median,Maximum,Minimum
0,-469.2778380847662,-465.49594997182487,-65.32960201732665,-1307.8871361004424
1,-337.8918871103687,-302.7630846382644,-3.6086500786204616,-1125.5621995012061
2,-266.95984947089215,-194.9406330013991,-60.04238767491967,-989.8382787555429
3,-192.65785842198292,-143.84387973211363,-37.74278510442059,-784.2945320415283
4,-165.01070427411247,-135.19957856180025,-11.914317193727484,-856.1902487785846
5,-167.8462620606569,-137.79256646106964,-25.341767178619502,-807.598305864331
6,-158.7309399431637,-134.11937974862582,52.97302709749372,-1037.6259375695397
7,-144.16237048220768,-132.22560974341155,4.476003652886386,-512.0372049724066
8,-158.43622789617214,-134.6334015936642,-23.231366124889046,-1101.4948037449492
9,-153.95769824740287,-133.15248553955723,43.30984215853229,-990.2685907448318
10,-144.74644555718228,-132.7179840897045,0.47503183707013363,-675.5484928904324
11,-140.5685518867503,-128.53005054390323,-21.85680348432993,-1029.9413501885692
12,-137.58928640845286,-128.78371087493315,34.624831197141496,-610.0811054351569
13,-137.6582377335004,-129.19448119790167,-19.920030337313236,-600.4383254470409
14,-129.91611212998956,-125.96539915914917,-5.394644176859107,-518.0936545582991
15,-139.38171820183686,-126.99791564385959,-37.994947183379686,-650.0717944648659
16,-130.8519563418101,-122.56146936960427,63.06080025851005,-825.396080139611
17,-128.03229208914254,-119.01011837593164,11.541072146183405,-586.336023203661
18,-116.331551214686,-113.8648302893035,43.61525071506416,-632.1689543170286
19,-118.62728982405771,-113.95809358884523,25.806244851755725,-480.58059076593344
20,-118.40099938267849,-108.42502939148042,113.23924229936476,-484.86838836945
21,-112.45249786409443,-108.87096448239973,49.825514027058226,-500.62787210360653
22,-114.20836170132212,-110.33757249318924,100.97327217347811,-501.3057320889752
23,-109.29764032466456,-103.08570120540315,15.298789602586007,-333.2998934975736
24,-106.99597347153738,-98.74665134828405,95.36998830271443,-437.4783443174977
25,-101.35292898768286,-92.63807513195823,50.432686314390914,-478.8942118747918
26,-95.14318209032912,-86.31392322182668,40.76160910294729,-419.7113223022422
27,-91.9755278025771,-85.32001627818426,80.23105064046584,-377.29234789123643
28,-84.37856067703399,-82.82373975344164,122.91271688815534,-278.8662700508961
29,-88.66852795383569,-79.0764076278933,183.84047549394913,-345.081784605706
30,-83.63147023145056,-67.41285528775778,80.13224734750719,-375.63886984325796
31,-78.58117593319442,-70.6985926508124,86.80765928997558,-323.82876686399965
32,-59.38311781402662,-56.78398391932953,143.19290704741442,-351.65283940650664
33,-52.025398478125176,-51.351517043544995,155.41383110575774,-302.20820288859125
34,-42.21253554207947,-39.966985829642184,167.40630027014842,-313.68624134588276
35,-31.59390756344732,-29.517873437906246,142.24467614568204,-359.3700249296091
36,-17.521681290049045,-17.638034438053303,136.18882840222182,-240.4130157499873
37,7.825209743677489,14.217334623544893,142.03990599825212,-296.368716295732
38,20.948371470413196,24.44367134026913,169.1496446223047,-381.7836225899013
39,32.83457028288611,39.487999182291645,183.54299017587718,-276.3822918381065
40,46.22519353179197,63.60951978490954,149.19434344330867,-240.16110096843076
41,60.24983776000014,74.28841192908759,216.65033392416248,-188.9676085977566
42,62.256580077864825,70.66875762051308,162.88557355103265,-209.13687014674701
43,73.77581048750889,79.78956218714866,190.96486832758129,-91.22992715881362
44,80.998374953322,90.3410698076689,212.18411936676114,-120.8395601864219
45,86.09191803207722,92.7586504811866,219.47026370179958,-215.50014642054802
46,94.79021530345462,103.47511466830429,183.59260748270796,-54.930679385415864
47,101.62238503973155,109.22260006642645,184.0634404627549,-39.88358787574072
48,102.80733515763984,109.27652034974348,180.18958709356232,-39.524491562904636
49,101.27190758225868,107.56103973292322,169.76137897344992,-60.87637130156374
50,104.73138525143794,109.44573499012303,196.0404790902912,-58.08095924236158
51,109.74877866482417,113.21932479382679,167.65913896118718,-18.684394076582812
52,110.29506956378589,114.73282939459092,220.7314293185344,-34.093083382080955
53,112.03741410477018,117.277199555372,239.42633133296263,-2.8596388564591044
54,112.99763784518018,119.51100067002096,189.78243423508775,-36.30562671237846
55,117.92379659697662,119.07518037239545,217.7080278230636,-5.7144160486206514
56,117.04793806425357,121.70418877775153,228.55229647526016,-20.917028439274294
57,120.23736283413594,126.72883009660623,219.89610169881777,-70.16659010613058
58,123.17481802311674,127.82399883953084,245.1090209190614,-5.720456898539321
59,123.02621659919934,125.21425009012569,210.9121944420142,43.85347153817463
60,125.1680024030698,129.5247354758963,277.14470486776975,-13.931152772460152
61,124.70915850744205,129.97683413213858,209.23661696544718,-12.083006665254578
62,129.7613439938702,133.95344365044704,260.7258549179758,-14.420321819668288
63,127.26200212817417,134.13106401394856,261.702081498251,-22.800370834604532
64,131.73195995237106,136.3309557482707,239.5201720192937,6.545092645014814
65,130.7591159205308,134.83823607439032,276.29900826345596,-15.23065377766955
66,139.53794156685768,141.5178230372411,283.19894335355804,21.096857332074908
67,141.65768097520427,143.48434902622276,274.1552351723879,28.802348022486285
68,142.92327357902855,141.31024232068444,286.6423969244712,18.858911098713552
69,144.2592604061932,145.41889518399017,274.21175481876725,3.762793632471187
70,142.48198469539608,144.59233328840094,265.9928575936479,12.377624042883411
71,143.2896448689912,146.83833317832463,255.15829745041466,27.81646537595408
72,144.3088939968562,148.5812119061959,268.46100132709165,3.375459623595191
73,149.92089756124759,149.3523417946505,246.59761505572905,-7.351369778436653
74,159.62618146774727,158.55690133722254,291.2236608614396,31.00923689009215
75,158.17109114200898,156.6841644946466,282.2904816608981,34.807993762629216
76,162.35258917733694,161.976648266381,282.7673898139589,27.99603693202791
77,166.57059219082578,166.21003869140003,275.46479089071914,20.973664686291077
78,158.63716729623343,159.5343052250941,284.3853567195815,46.13742561626574
79,162.15174168075737,162.34183246697637,287.4795465969834,17.787904268978036
80,171.0319162227233,173.60049537487248,288.63646610745224,21.901533147471255
81,172.55535366218533,172.58884470609854,292.68991707093306,4.444718905410895
82,167.48963439226196,167.0117352708768,283.7532558760722,-2.6666585233404922
83,173.88709040554338,174.82143217440768,283.3938343615755,-28.27053982446566
84,172.88175725221123,173.08728985158152,287.7957357800127,0.8207415969926615
85,174.28850856646446,173.71344087673566,286.9610906327236,-6.028577808643405
86,174.18970919244256,171.42543995310473,287.0389777496643,29.257349918893823
87,177.6634153272252,177.8985154511875,293.34780709317545,-11.68222550447913
88,184.37786302437001,186.8028347715758,288.8367855687425,24.676261032897653
89,180.0123694106553,180.08767028854453,290.20698953911295,41.93315527242448
90,185.5581176565973,185.91754890714796,298.7452286272308,24.53784568583642
91,180.4140653097957,181.22666874041755,288.79379355154805,44.4854286966646
92,181.09182359841327,174.2377103897971,293.9419640670236,48.75177826451684
93,183.24967933901968,187.69224201999938,288.1835009153238,49.25288211903037
94,186.27708577341207,185.0077016177822,293.1893443551555,57.78528711413552
95,190.19598250141576,196.48896823970932,296.18332955922074,18.937930016914617
96,186.46699171820157,195.75984556676502,291.77665214563723,-3.177801788522274
97,186.25265664951306,187.58871664942947,291.069781657595,56.63216097427065
98,188.12394292071,195.0748667523781,286.72826816375056,38.79885267104937
99,200.60004923897947,199.84201584998402,297.5900572184647,46.74411799428999
100,192.60697541864016,202.60134109731297,289.4257479069418,60.865516907479986
101,191.43589079943564,198.73805815560564,289.63302644093085,45.95711712376785
102,190.68688257704545,194.0552407425954,293.9710064446045,37.67932498429242
103,191.20549675117505,193.90117774947367,283.122341917456,32.923071914992086
104,192.60081513557842,198.1924958685424,291.47482964393794,11.794618238848699
105,191.5350531396645,194.7744041263765,283.21531865456194,23.038332773267285
106,194.55479490229175,198.75561327548348,289.61972843290044,37.649545247532664
107,194.27550605727737,199.68277671715848,296.32764360395,37.63485061822312
