Generation,Average,Median,Maximum,Minimum
0,23.81111111111111,10.0,189.33333333333334,8.0
1,36.78333333333334,20.166666666666664,200.0,8.333333333333334
2,56.95,50.833333333333336,200.0,9.333333333333334
3,61.927777777777784,47.333333333333336,200.0,10.666666666666666
4,73.44444444444444,66.33333333333333,200.0,9.0
5,83.17777777777778,73.5,200.0,10.0
6,94.28888888888886,97.16666666666667,200.0,9.0
7,104.7888888888889,102.66666666666666,200.0,9.666666666666666
8,126.87777777777778,133.5,200.0,9.0
9,146.44444444444443,157.33333333333331,200.0,11.0
10,157.79444444444445,198.0,200.0,10.333333333333334
11,165.2277777777778,200.0,200.0,15.666666666666666
12,185.03333333333333,200.0,200.0,12.0
13,181.2388888888889,200.0,200.0,9.333333333333334
14,173.52777777777777,200.0,200.0,9.333333333333334
15,167.0722222222222,200.0,200.0,9.333333333333334
16,176.88888888888886,200.0,200.0,9.666666666666666
17,164.0777777777778,200.0,200.0,9.0
18,165.13888888888889,200.0,200.0,9.333333333333334
19,176.05555555555554,200.0,200.0,10.333333333333334
20,189.69444444444443,200.0,200.0,84.66666666666667
21,183.10555555555553,200.0,200.0,10.0
22,180.78888888888886,200.0,200.0,8.666666666666666
23,159.76666666666668,200.0,200.0,9.666666666666666
24,184.05555555555557,200.0,200.0,20.333333333333332
25,173.4888888888889,200.0,200.0,8.333333333333334
26,173.17222222222225,200.0,200.0,9.333333333333334
27,171.6722222222222,200.0,200.0,8.666666666666666
28,177.9777777777778,200.0,200.0,10.0
29,179.15,200.0,200.0,9.0
