Generation,Average,Median,Maximum,Minimum
0,20.244444444444447,9.666666666666666,182.0,8.0
1,25.605555555555558,10.0,174.0,8.333333333333334
2,28.455555555555556,16.0,192.0,8.666666666666666
3,41.422222222222224,25.333333333333336,190.66666666666666,9.0
4,54.055555555555564,42.16666666666667,200.0,8.666666666666666
5,56.56666666666667,48.166666666666664,200.0,9.0
6,66.55,60.833333333333336,200.0,9.333333333333334
7,72.06111111111112,60.5,200.0,9.333333333333334
8,84.70000000000002,77.16666666666666,200.0,9.0
9,91.47222222222221,74.83333333333334,200.0,9.0
10,97.75000000000001,77.5,200.0,8.333333333333334
11,117.65000000000003,155.33333333333331,200.0,8.666666666666666
12,158.4888888888889,200.0,200.0,9.0
13,157.12777777777777,200.0,200.0,9.333333333333334
14,155.12777777777777,200.0,200.0,9.0
15,163.89444444444447,200.0,200.0,8.666666666666666
16,175.45,200.0,200.0,9.333333333333334
17,178.78333333333333,200.0,200.0,9.0
18,181.46111111111114,200.0,200.0,46.0
19,168.42777777777778,200.0,200.0,8.666666666666666
20,180.2,200.0,200.0,9.666666666666666
21,184.95555555555555,200.0,200.0,9.0
22,184.58888888888887,200.0,200.0,10.0
23,190.12222222222223,200.0,200.0,13.0
24,181.81666666666666,200.0,200.0,11.333333333333334
25,174.86666666666667,200.0,200.0,8.666666666666666
26,175.74444444444444,200.0,200.0,8.666666666666666
27,177.08888888888887,200.0,200.0,10.333333333333334
28,171.2388888888889,200.0,200.0,10.0
29,181.43333333333334,200.0,200.0,9.333333333333334
