Generation,Average,Median,Maximum,Minimum
0,21.37777777777778,9.666666666666666,200.0,8.666666666666666
1,29.25,12.833333333333332,169.0,8.666666666666666
2,44.05,24.333333333333332,200.0,8.333333333333334
3,57.222222222222214,45.0,200.0,8.666666666666666
4,65.85,51.5,200.0,8.333333333333334
5,79.49444444444445,57.0,200.0,9.0
6,90.81666666666666,87.16666666666666,200.0,8.666666666666666
7,94.30555555555556,86.83333333333333,200.0,9.0
8,113.81111111111112,115.16666666666666,200.0,9.0
9,140.5333333333333,183.66666666666669,200.0,9.0
10,166.07222222222222,200.0,200.0,9.0
11,166.38333333333333,200.0,200.0,8.666666666666666
12,162.75555555555556,200.0,200.0,9.0
13,171.8722222222222,200.0,200.0,8.666666666666666
14,167.94444444444443,200.0,200.0,9.666666666666666
15,187.4222222222222,200.0,200.0,34.0
16,186.56666666666666,200.0,200.0,8.666666666666666
17,196.7388888888889,200.0,200.0,99.66666666666667
18,192.36111111111114,200.0,200.0,10.666666666666666
19,189.53333333333333,200.0,200.0,9.333333333333334
20,188.19444444444443,200.0,200.0,9.333333333333334
21,178.09444444444446,200.0,200.0,9.0
22,173.85,200.0,200.0,9.666666666666666
23,179.3777777777778,200.0,200.0,9.0
24,167.6,200.0,200.0,8.666666666666666
25,176.53333333333333,200.0,200.0,8.666666666666666
26,185.01666666666668,200.0,200.0,8.666666666666666
27,180.84444444444443,200.0,200.0,9.0
28,191.90555555555557,200.0,200.0,12.0
29,191.16111111111113,200.0,200.0,9.0
