Generation,Average,Median,Maximum,Minimum
0,-89.79567846098543,-104.71301589931295,8.878892967415926,-141.61282515073847
1,-80.55692343098654,-101.30082273841471,9.073881028962218,-140.17772513790914
2,-69.42407326165453,-60.53359389435173,7.9199173185602865,-138.87574138093655
3,-65.59174965525632,-41.999461756001494,9.619733579335799,-134.93823290643732
4,-61.359773175341275,-37.81120141686392,6.997571976362937,-129.5318881252748
5,-62.01065621724702,-36.58820681354101,-15.01636661256365,-126.92588638592599
6,-60.14831648655716,-35.56252497703605,-16.086723035896025,-136.32329947126655
7,-56.21597365458743,-33.895954953207834,2.989324263660942,-132.55918966412025
8,-57.296422131739334,-32.36748676573197,9.773627311838135,-132.82670127311368
9,-53.7121471862219,-32.27732778366371,10.203489041440466,-133.71548088601912
10,-56.969022578135394,-31.741781704803056,11.396095849581258,-129.87784390593455
11,-55.213866502801196,-31.60373130699374,12.382204375750225,-133.80214074590597
12,-57.24236517864415,-32.07829702536395,11.548668918573583,-142.29430335347521
13,-55.83352888623687,-31.56785092721648,12.218634517006885,-134.036791634731
14,-54.23147472222288,-30.575083777980165,-5.614503096590916,-128.9716031503327
15,-53.43167474477469,-30.167750555762083,8.660904087976506,-132.93559997463203
16,-50.304916370889806,-30.2164573265877,12.529710536355788,-148.36898468879284
17,-55.641603770084984,-29.658773237730493,9.066908676931838,-142.27397472845803
18,-53.62748465475736,-29.34768447400252,10.093936205697633,-132.55650898131043
19,-51.09824242718533,-29.117477180638723,11.1657502840989,-130.14116866121788
20,-50.09494992177758,-28.41565917362847,7.869660418171436,-130.22265634925478
21,-49.94026713831315,-28.155155209018044,5.230850595190571,-134.44678972127875
22,-49.785525838476524,-27.3654840470518,7.55939201207129,-132.84287598724416
23,-49.65062919787073,-26.986732988437993,14.03667086456698,-133.8500719535186
24,-49.31116293340415,-26.59487638676798,5.854223865713453,-137.19504901405438
25,-48.68561624456932,-25.749848654444506,6.3204315780712745,-137.7167325431091
26,-48.299610485229366,-25.235458167431148,4.7456413706695235,-134.42314522484932
27,-46.78850873570563,-25.71273459809875,12.383577781747064,-126.60186648030849
28,-47.98043237591274,-25.047848370423246,11.618259324048134,-130.21965940197506
29,-45.576075749094,-25.06767381109264,8.135424175139038,-129.23484344235627
30,-47.44541280548847,-25.10447931300382,13.579818865903862,-129.0124191481179
31,-48.28637588612469,-24.12509175592725,11.716602448025801,-133.78938381806304
32,-43.55533232185501,-23.73592734296294,10.219184972965882,-124.90741807474899
33,-43.78414403510301,-23.36827413313236,9.224499557597252,-128.0311753829627
34,-47.55508031785867,-23.699815101239995,14.687131521670304,-132.4430276589518
35,-47.11285045172592,-23.764572345129828,14.395215880530055,-138.28953227831855
36,-45.93442712467884,-23.302292948672545,11.061312118504338,-137.73603627026444
37,-45.191263160480744,-22.912684455798622,7.625900186849516,-138.4835183429027
38,-44.15346485840694,-22.707025553930045,9.805713856256828,-134.40956616695098
39,-46.654840490854184,-22.208535711421302,5.504974018691198,-141.20870756797638
40,-40.83658682946938,-21.741330600402883,11.571021713600663,-133.80738778082022
41,-44.869807605742764,-23.20409149364483,9.688738284285797,-140.85864768270207
42,-43.91686877020916,-21.74502219889382,14.533982598421053,-134.05781452549917
43,-45.68378113196297,-21.523967556112602,10.752263720585423,-129.3284721850196
44,-45.51167153171146,-21.603692935989656,12.666035001379674,-142.34975701464154
45,-45.45710187639805,-20.923128976951276,11.57786512346793,-133.72643174779373
46,-41.81791193876741,-21.022132377360137,9.93785161924407,-130.7359305359528
47,-44.89430863354645,-21.6546641510483,11.16725934232493,-129.32934320530896
48,-44.73821277527562,-20.73132356527022,6.362239001947643,-135.57741515079763
49,-45.53604444779098,-21.192667140052436,8.710550851866282,-131.46816910732392
50,-44.113353660023314,-20.6419092065592,4.290255793837869,-136.20259344288095
51,-42.44328977556929,-21.01956284242346,14.458630137085828,-127.67061414830512
52,-42.05862717133795,-20.2209186905015,9.163084203546815,-137.1855817761607
53,-43.144971851072405,-20.015380869379374,10.945469727758654,-129.7376186067469
54,-45.39259811468045,-20.1695270232985,10.690256655777906,-140.52946473529448
55,-41.86465468403417,-19.896157935647672,7.746364670679618,-129.81460232419207
56,-44.84935556546428,-19.998150330230324,10.437816572442358,-142.46168432242519
57,-42.77849618355965,-19.632185891665316,1.8624554936552602,-143.65062593932728
58,-43.5440513542908,-19.3296181959173,7.209890779481235,-149.9311564528749
59,-39.02798167231164,-19.316350161421717,11.250880905246033,-131.22116197937572
60,-42.87885405422712,-18.96794457887355,12.926996020003761,-131.9208746342513
61,-42.49047665001069,-19.101133628821003,13.976041678386103,-139.57979886841653
62,-38.17744970272421,-18.430489191392507,12.445142892961064,-135.5277985955163
63,-39.13883679304477,-18.666924448258353,5.844477202221189,-134.76769866896814
64,-42.039399354392835,-18.257282760846888,10.806714719898324,-132.37041797527445
65,-38.2944139358809,-17.998167751522754,10.84886598690064,-128.49690839128587
66,-40.78875530110124,-18.597346595914015,6.187861947698443,-134.83356639799214
67,-39.65649851285892,-17.802093977095623,7.8501043376801505,-130.0105870930094
68,-42.436066893741824,-18.9538363816061,11.18760464204559,-128.57020548678335
69,-43.422958977606946,-17.939760999422234,7.152087710161872,-134.84272874687306
70,-42.56565389023526,-18.14812719924511,19.47126809398922,-134.88643013323062
71,-41.0687936025103,-17.684515970266354,11.620133985119978,-134.58971109815272
72,-42.38791720590783,-17.870874950039635,13.570048486293066,-143.95132633746857
73,-40.004844924749875,-17.65943970619665,12.733335603551339,-129.10286783220968
74,-38.698540144045424,-17.84975548164298,13.81739425282416,-133.28031742148846
75,-37.67937181968562,-17.174999538885984,11.42722812314171,-136.9009419866444
76,-42.222477150544016,-17.64838719715719,10.765224995394652,-129.1840448854207
77,-40.818529691605995,-17.927645937963554,10.292659647357963,-131.6567137038795
78,-41.6199006865961,-17.150969895044906,12.569130391804743,-133.69975392251237
79,-40.72418973851982,-17.616004790442993,12.71020334648196,-131.2910848336104
80,-41.35226418872204,-16.74707445535354,12.024042600306238,-130.21740091471167
81,-43.493653291151595,-17.01362194167713,11.658259214751254,-140.77506493541918
82,-38.63701678200669,-16.60148624882414,11.178158473860853,-130.76187359744608
83,-40.19728913559639,-16.596697410833478,10.026996958754076,-130.3260719635732
84,-40.16610838839595,-17.530439197060332,14.14587409186859,-137.1464224407902
85,-39.29235707513182,-17.496675019097694,12.577529173435616,-130.6685552002115
86,-39.39932866809625,-16.609397464925472,13.155491504925907,-130.9395081282441
87,-38.97000995777825,-16.721684339129837,10.990578485406681,-134.20072740263086
88,-39.01154109314396,-16.572243098029574,12.166146501297384,-126.48412701802464
89,-36.92131500532024,-16.421523201718273,13.948280516527603,-124.34870377550861
90,-39.37778538481648,-15.801559393452546,13.752945988846683,-130.43906966697654
91,-38.42806744378869,-15.763449642841767,8.573074497180395,-130.6102119241083
92,-38.86314597470131,-15.474294569865156,9.629098061494213,-142.15506299254477
93,-39.21795911827679,-15.315055315799396,11.65948055233703,-131.22931368910204
94,-35.88987615435213,-15.653197376170077,18.535485735358982,-138.2493501130279
95,-39.81894253826181,-15.276023883899953,13.246621859712874,-140.29569203884844
96,-36.956684647971585,-15.507049290278935,18.206599071182456,-126.81578100769076
97,-40.41469193024853,-15.454731188097995,15.925635332482537,-138.76931253865078
98,-39.67653028527239,-14.836762367518805,13.409620330820188,-135.46473462405544
99,-38.57696530769396,-15.01288908473761,14.92431807727887,-141.63116407401716
