Generation,Average,Median,Maximum,Minimum
0,-504.36693232691874,-477.06322696588086,-80.1326436480618,-1987.3011658676471
1,-353.2529733896386,-329.04276260204165,103.91351457596954,-1034.0095905848534
2,-267.2107630999375,-206.29187689748278,61.08098854742261,-918.146021278574
3,-201.963202483245,-144.45282078568033,48.57543640998417,-1382.9895901723783
4,-172.92738211217988,-134.78076976397824,-12.449020157543606,-1493.2660571740032
5,-165.46721864745928,-135.18942290588933,29.95473307916988,-956.784606800185
6,-149.2057450210715,-132.20488639728205,38.941821242485986,-593.5498118289755
7,-146.00333090137508,-133.62374800425,17.012297851467608,-577.0397871074923
8,-139.74913104575754,-129.80865266759122,73.24709595078845,-735.1495175680965
9,-128.8366106665159,-127.47010569491101,12.125461617779075,-329.78000683097156
10,-132.4906216594969,-131.5493944257069,-23.534887324106435,-443.9356081487246
11,-127.39916697103918,-123.78677952579724,99.29230392762821,-401.27155125027895
12,-128.55839719624493,-121.47784263546261,25.658846183911674,-497.633050315982
13,-130.86134680584547,-120.8336893701442,8.452401570385367,-640.7977499234489
14,-129.60592392168493,-121.13252230908193,107.507891625417,-585.5749308924948
15,-114.93282314162883,-110.86627740354268,38.45271790073475,-344.83479720827137
16,-128.61517289086356,-120.11462429950598,165.7338917850773,-563.7320588651996
17,-117.8044463834308,-111.03713853030538,71.07302416145508,-475.6917244090643
18,-110.40599999007557,-107.21024881915574,169.13865738082686,-552.5962975251371
19,-110.90609254746515,-104.9022528694899,137.1514439496101,-498.6255093986001
20,-108.93182737527007,-96.00195531724708,53.58136496421226,-643.5992031947693
21,-102.07883699164158,-97.43255252418692,165.98966056660495,-506.4587880322718
22,-105.42698087975936,-94.69515149784837,133.39853890890953,-385.8609940769941
23,-95.31656422450295,-83.94011121406103,92.84555926782089,-442.1710506696331
24,-90.91515374973443,-81.66278326233768,99.19817991992322,-495.92269399777723
25,-86.67214460585247,-74.43214271595059,85.93721253207859,-451.00990953699556
26,-80.84579882131987,-71.52781014880134,70.98033507203651,-433.9084775185367
27,-73.63341893058687,-62.42706879313873,160.470778984564,-592.9769104522155
28,-65.75368587981751,-64.92038897807461,96.46006123078875,-343.5020472190716
29,-68.12604793840143,-62.5700847541883,162.22520050382502,-361.86556221254295
30,-50.7559143540661,-45.21520893737575,153.96793304058505,-425.23773925197696
31,-38.46037892433631,-33.0288434321853,154.08610476444682,-311.7571603899709
32,-16.32331367178292,-20.290565815321354,194.86064196347442,-357.50421465512363
33,-0.471776214606552,9.363540122163295,213.20917755282622,-493.7598757629992
34,9.733646682701455,12.692181010635863,196.37513775885313,-343.8163040335574
35,33.273801754910714,49.08993820719148,239.95648404946925,-431.43887413869976
36,34.19803961053352,43.945054823787785,256.866734770638,-359.0055396477735
37,44.93734774816066,59.774779906481015,209.92254060383925,-303.0186358934909
38,59.29986258345395,69.70838040675044,253.32867200279838,-177.25868814866226
39,76.76421484535173,87.61923256865816,258.3747345569696,-308.93463447253083
40,78.1798037032883,88.69468095285141,245.06804729945736,-281.0205283775618
41,86.82549326118964,97.17914825195032,237.12681980665218,-184.5530710195902
42,84.20119361265226,93.79986732500888,261.82960725741594,-144.1313702838838
43,96.80219296050409,97.24477801230421,258.5365648436118,-236.203902573895
44,101.29863933171681,110.51225886835458,288.7234774524508,-218.52416565661147
45,104.8435218830521,109.91816366738033,266.88566101022894,-96.94351866001618
46,108.27816835726347,107.22163784444746,271.7864059974217,-38.20427990713386
47,111.52097181316822,120.27795570137098,282.1268030978245,-119.80015235800006
48,111.32070969672714,115.08425996258364,280.57166874470863,-200.94730139415796
49,115.06366239624475,114.23689991108836,281.5395645872933,-74.97020303392175
50,119.83885016980946,120.78513257878748,268.18536074647295,-39.77171211816913
51,126.05699331680117,131.65912849517593,283.1515440055248,-51.62954357963187
52,134.4682660009603,139.4506796974061,292.48558380320424,-23.914811526546526
53,134.53574783720944,130.59016370290416,272.6592827863449,-46.50632149786369
54,150.73448164841952,147.88537257753052,287.32764268496345,-30.724748072215164
55,153.63277951511367,148.00958938105956,281.3240053875414,-48.63326911471567
56,160.47087800120678,154.3007262683658,284.57567346608295,-177.65441083418466
57,175.04776317876423,168.17755375047017,297.41929708109234,-81.97250145202639
58,180.50901283595056,176.97296560943832,292.0398515615839,-9.137820264344839
59,206.48817822224683,214.80970994916845,294.9996233228574,-27.75702341311275
60,214.33141368427366,237.24129386995628,301.2794069050262,-8.665259562904074
61,217.48943603948138,242.5874193623199,298.55919591051173,4.915137113918462
62,218.98362252427648,245.04068565245908,297.7952094437036,-2.1023541419525835
63,224.84205160670734,249.32509256450754,298.3340232233113,18.41456476801711
64,226.6448693464386,251.55640039897128,292.5120656986955,41.49802176715829
65,226.26495638161978,251.88799664436107,310.08638922934495,3.253454294462595
66,239.82698997893075,259.4411301725236,297.9833687206181,-1.8742365123316251
67,239.33706398795363,258.68149835047643,294.1475162457496,21.031561215922427
68,236.87889743667267,256.87891379305313,298.3383668989052,45.00822640244949
69,236.77758240377187,259.67794519063284,295.72686829670903,28.884100563234384
70,238.10009240502183,257.28628022420423,297.92547846956535,101.42373689966398
71,249.12046791872228,263.0388604937839,298.1597323663266,79.0966255490465
72,241.5169619905053,259.7092531647316,304.25477030364885,80.0603145705873
73,244.17977070787467,262.0030964858602,300.1036735490792,17.20697227112598
74,244.8782540696609,262.7273730812716,294.5060050545273,35.17105766485425
75,243.10063255378824,261.68192738492127,299.0924676960565,18.618144089601607
76,243.01100024571969,260.5709804177196,297.6444702092768,-17.25918325791302
77,247.0588435771554,262.153017987429,297.1529599343905,93.05923160534162
78,250.01032130593686,263.51709988442343,313.15304808288505,91.29990104928545
79,250.16226116149696,261.93396057463406,293.8721886488783,21.685985773798198
80,245.38110238270696,262.50646332328256,300.298453279197,43.34533321315229
81,256.41479134643134,266.5193666967743,306.81445260429956,108.50594890080674
82,252.38067772093632,265.58631790508946,303.717872216217,13.885459440376493
83,251.28657087943267,264.1038978443659,304.15369801165735,-49.22546884833677
